	Tweet
0	@AngryStatsGuy At least Roansy looks good
1	"When this guest picked up his tickets, we're pretty sure he didn't expect to be part of Ambrose's routine, but wasn't he a great sport? 😂 

[📸: Kara Pritchard] https://t.co/HG4gCENrjZ"
2	@zacheasley22 @Light_Roblox02 @noohbit @MaxWinebach I would like the interactive widgets which was rumored but the live activity feature could be good though. As a sports fan I’m excited about that. And maybe delivery apps can use it too.
3	Jo Madden Sports Pod w / James Young @CoachYoungNJ  Basketball Analyst  @sportsgrid 7/7/22 https://t.co/DzBSKLhuyR
4	Nadie quiere a Dembélé y Cristiano la gente y los equipos y directivas no son tontos y no les caen bien los prepotentes y falsos combenidos por qué saven que todo serán problemas Enel vestuario y en la directiva es lo q ahy cuando eres un Mier.. https://t.co/LCsYWa9v4g vía @sport
5	@TurbanPatriot Yayyy https://t.co/SGb7RR2Mqe
6	@_BarcaInfo @sport Pini ku*wa szybciej. Please
7	Sur le fait que Michut veut revenir plutôt avec les 1er du groupe car il veut se montré je conçoit tout à fait MAIS sa réaction de ne pas venir a un RDV avec son nouveau patron des sports là je conçoit pas du tout pour un titi qui doit se montré, c'est pas comme ça qu'il arrivera
8	@itsescoman @DCiscorruptevil @JohnnyPavo @HustleChillson @halfdeadmuthaf It’s pretty safe to go with a proven winner like Miami Heat for a sport. Since you’re hating on the Seahawks who’s your team? Let me guess- Rams? 😂
9	"Lol. These people criticising Izzy think UFC is the WWE.

UFC is a professional sports, bro. Izzy is a champion and wants to stay champion with as good a record as possible. Entertaining you is laaaast on his list of priorities 😅"
10	@sport_tvppl Covid?
11	"🐂🌽EPISODE 14🐂🌽

•NFL News
•NCAA Conference Realignment 

•Baker Mayfield is feeling more dangerous than ever landing in Carolina! 

•Are Kyrie and KD stuck with the Nets?! 

•Plus the debate: Is Joey Chestnut an athlete? 

#Podcast #SportsPodcast

https://t.co/VZ205N5MoA https://t.co/ycs9Jn0yQj"
12	"@getnickwright The greatest competitor in any sport ever. Having a chronic foot desease since birth, always injured, he keeps coming back, unlike anyone else...

I never cared about number of GS to me the ranking will always be in this order:

1.RAFA
2.NOVAK
.
.
3.ROGER"
13	@jaytuness @DonStew8 @TheEuropeanLad @BILD_Sport Yeah sure &amp; I get that but you guys are trying to rebuild so that y’all can compete again. Brobbey is still a youngin who has yet to play a full season of professional football as a starter. He’s not the replacement y’all want/need. These kinds of links should be worrying.
14	Afraid of Kyrgios’ underarm serve 🤔 https://t.co/f6chNF09wU
15	"Urbandale vs. Ottumwa
📹: https://t.co/lYqYNwWcX1
🥎 : J-Hawks vs Bulldogs
🗓️ : Thursday, July 07 2022
🕰️ :7:00 PM CT
📍:Urbandale High School Gary Page Field

@OttumwaSoftball
@OHS_Bulldogs
@OHSDogSoftball
@OttumwaSchools
@jhawksb https://t.co/p5jtCHSes1"
16	@michaelcruz786 @veve_official Even crazier people IRL spending over $85 for an AMC Tin Thor Popcorn Bucket that cost $35 at AMC. https://t.co/irAIqM3rZw
17	"@modarajalhilal @ViVA__SPORT صفقة كانت محسوبه لابن نافل
اللاعب قدم مستوى جيد ٣ أهداف وصناعة ١٥ هدف وهو قادم كصانع لعب
ولكن الضجة الإعلامية اللي جات معاه ومقارنته بتاليسكا
تعطيك انطباع انه مقلب

الضجيج الإعلامي اللي جاء وقت التفاوض معاها مايوازيه إلا أنه يقدم مثل ميسي ورونالدو في عز مستوياتهم"
18	@PrellersBurner Yeah it cuts off abruptly and looks weird
19	@CreighTakes Creighton and the Big East are a match made in Heaven. Best conference in basketball!
20	#Ahly’s Abdel-Qader fit for Future and Pyramids FC clashes https://t.co/HjcEpqpLwN https://t.co/hdsqDpPXmF
21	@snarky_liberal @jebenibog1 @TennisTV @RafaelNadal @NickKyrgios Why watch any sport with a political mindset instead of just enjoying the talent on display 🤣🤣
22	@SharyWilliams @paugonzalez693 Otro cuñao mas pa la lista.... tas a tiempo de cambiarte pa Ferrari manita
23	@christophclarey No, Fritz couldnt beat injured Nadal, he doesnt deserve semifinal. End of discussion.
24	@TSN_Sports @Davidfhlegg @OHLIceDogs the Lice Dogs?
25	@tobamedia I agree
26	@UnitedStandMUFC @BILD_Sport So we basically swap Ronaldo with Brobbey. Since Ronaldo doesn't want to be here, I will take Brobbey (of course, I hope Ronny stays
27	@matjug_mat 2 tenues, une formelle mais un peu décontractée quand même, et une sport mais pas trop dégueu quand même.
28	I have the Astros and Royals going over 7.5. Will it or not? #MLB
29	@GordonEdes As a long-time sports memorabilia collector, I understood that before I began signing copies of my book, or sport parachuting logbooks.
30	@bigten hope you feel good about ruining basketball baseball softball and all the other sports https://t.co/sUD77nTYRn
31	@TheEuropeanLad @BILD_Sport Aren't Ajax closing in on a deal for him tho???
32	I hate what’s happening in college sports, but if the ACC can stay intact, and add Oregon, Washington, Stanford, and Cal I’d be relieved. Add ND and WVU and I’d be even happier. But a lot of these schools would still be mooning over the Big 10 and the SEC because of money.
33	"""There is no profession that touches more of the issues on campus than the compliance people.""

Jason Leonard, @OU_Athletics Executive Director of Compliance, speaks with @BryanDFischer at #NACDA22 about the importance of athletics compliance.

Watch: https://t.co/OGfgzEvrI3 https://t.co/ZHxrIrHGuz"
34	نادي الامارات يتعاقد مع البحريني الموهوب محمد القاروني لتمثيل الفريق في الموسم القادم https://t.co/mdikBksUPC
35	Has Ben Rottenberg tweeted that Rafael Nadal should have done the honourable thing by letting Taylor Fritz win? #Wimbledon
36	"Thumbs Up for our Commonwealth Sports Day! 
@Lea_Forest_HT
@l_phaw
 @BirminghamEdu
@AETAcademies https://t.co/zoSh7bWwyS"
37	"@MyersForNorris @DieselBert @FriedgeHNIC That one wasn't a circumvention deal. It was 15 years of essentially evenly distributed money.

Probably the second worst ever regardless of sport after Bobby Bonilla."
38	@jkrdevil It rules. All the sunbelt teams should move into minor league barns just to make Canadians mad
39	@WomensRightsNet Just no, get men out of women's sport. All sport 😡
40	https://t.co/t1w2vXp0ql - hey next time they bring a team or more sports in #vegas can they bring some water too?  Cc ⁦@LasVegasLocally⁩ ⁦@CityOfLasVegas⁩
41	...stores, grocery stores, sport parks, local parks, in the middle of freeways, on planes, trains, buses. There are and have always been nutjobs, petulent man-childs, activists, anarchists, and violent freaks, The problem isnt THAT they happen, the problem is we, individually...
42	@Abdullahiabba_ @Sports_Doctor2 https://t.co/veDWsNjVDF
43	@SanchezdeCastro Jajajajajaja
44	@lequipedusoir vous êtes quand meme conscients que 75 % de votre émission est consacrée au pognon ...10% à la vie privée des joueurs et le reste au sport ....ça devient galafoot votre truc !
45	"Commissioner @KikiBakerBarnes opening our annual conference being held at @Fisk1866 
Welcome to our conference athletic leadership teams! https://t.co/hMx3877j0c"
46	…what https://t.co/b2dVmDLpUX
47	@TheEuropeanLad @BILD_Sport Ajax FC  of Manchester United
48	Vivement que je reprenne le sport psq là c’est chaud 🥲
49	@Vol_Baseball This font &amp; its perfection 🍊 @AD_DannyWhite @Vol_Baseball @Vol_Sports https://t.co/AhsIt3KZBA
50	@bheartthorne @nicksargent14 @Go_Sixers_Go @Maldeagle10 @Craigorydog I legit could care less who you have at the 3, whoever you put there will not be as good as Jaden McDaniels, Jaden was statistically the best shotblocking wing in the sport last season, also getting a full season with a consistent role will help his development/production 6/x
51	$0.23! 11et! @sports_sell @SportsSell3 https://t.co/e5foO4WWlN
52	Do meio pra frente no Sub23 do Sport, os mlks São bem dms, posições carentes no time profissional, LISCA PELO AMOR, veja isso aí...
53	#futbol @UEFAConference_ League Clasificación Nuestro Uli Arias esta jugando de titular en @Floriana_FC con @CSPetrocub Moldavia 0-0 PARCIAL   cc @FutbolistasAXEM @roberto23928948
54	"Dave Essler

MLB (3*) Triple Dime Max Bet

Atlanta Run Line"
55	@BBeutah @moneyacademyKE High interest and crb clearance will ensure they always turn a profit. I never buy zero interest crap. You could be told 3days zero interest or 10% access fees. Etc.
56	"शिखर धवन वेस्टइंडीज के खिलाफ वनडे सीरीज में कप्तानी करेंगे, विराट कोहली टीम से बाहर रहेंगे!
#IndvsWI #TeamIndia #ShikharDhawan #ViratKohli𓃵 #IndiavsWestIndies #ODI #T20Series 
https://t.co/pyoQP65ZXJ"
57	@Shubhankar314 @UtdDistrict @BILD_Sport Clearly you know David will cost us a lot and we’ve not even wrapped up de jong deal. Belotti and dybala injury record scares me. Martial isn’t a natural CF bro. If we get this bobbery guy that means sancho to the right then rashford and martial will battle it out on the left.
58	@Monle85 @saryonnn @korvinvlad Menudo calor. Se nota que no vas
59	@LeGazelle76 @johnbarc86 1. Lots wrong with that statement, but most significantly the idea that state funded schools could be transformed into rugby hubs by the SRU. That is great in theory but absurd in practice. Sport in schools is a government agenda and the SRU (or the RFU down here) have no say.
60	Ci sprzed reformy szkolnictwa nie skumają 😂 https://t.co/Mi3XCohQGB
61	"🗣️ ""A gente veio com uma proposta de jogo e estamos conseguimos impor, mas sabíamos que seria difícil. Estou muito feliz pelo gol e agora é escutar o que o professor tem a dizer, encaixar e melhorar o time para sairmos com a vitória daqui.""

🎙️ Cristiano https://t.co/lcaHsFLHOi"
62	Quand j’étais au collège j’aimais trop quand en sport on jouer a la balle au prisonnier, après le collège j’y ai plus jamais rejouée
63	"@sports_takes21 @QandAinPublic @3YearLetterman @elonmusk ""Delete this, it's true and we Americans need to alwayss be the center of attention."""
64	"In recent years, live sports scores feed and live streaming online have been game-changers for the industry. 
Fascinating Benefits of using Live Sports Feed👉https://t.co/90Wc4nXgvl
#sportsdata #livedata #sportslivedata #betting #fantasysports #media #DataSportsGroup #DSG https://t.co/Vo7bX7qJmX"
65	@RFBResmi Ah Marcao üzümlü kekim..
66	@funky_lil_ghost The sports crimeboys au’s got to me
67	@jacksettleman We don't need KD
68	@BlazersArgento Amigo le queda pintada
69	St Louis Cardinals News from Yahoo Sports MLB DFS: Pay up for Carlos Rodon on Tuesday night https://t.co/4DT0JJPImV
70	Pittsburgh Pirates News from Yahoo Sports Game #79: Milwaukee Brewers vs. Pittsburgh Pirates https://t.co/Rv5HtFlsCW
71	Milwaukee Brewers News from Yahoo Sports ‘The state of the union is strong’: Brewers’ pitching staff has withstood a glut of injuries during 2022 season https://t.co/XHcPWwwfAx
72	N.Y. Mets News from Yahoo Sports Mets start 3-game series with the Rangers https://t.co/KsVz1NQ0zB
73	@ESPNNBA @TheVolumeSports Don’t sign 4 year deals lol do the SMART move like LeBron and Tom Brady and sign 1 year deals.
74	"@fersillo22 @yosoy8a @ClubAmerica En algunas cosas si, en la mayoría si tu quieres.
Pero yo como americanista reconozco que en el Madrid si no sales campeón en mas de 1 año hay consecuencias, cosa que en América no.
El Madrid no contrata jugadores  ni directivos mediocres. Ni paga a comentaristas porristas."
75	"@redsoxstats Not defending sports media in Boston. I haven't listened to sports radio in 10 years. It's too brain draining. It's just that after a while, saying you sucked today so many times loses its luster and becomes less ""says it like it is"" and more ""oh this again?"""
76	Commonwealth Games Baton Relay 🤩 honoured to have been invited as the guest speaker to this brilliant day in Slough! Such a fantastic event filled with lots of sport, young stars, smiles and teamwork 🏴󠁧󠁢󠁥󠁮󠁧󠁿🎉😊☀️🏏🏀 #teamengland #schoolgames #cwg2022 https://t.co/KLDLbhnHew
77	@hackneyhaz Also the chips at Northlands Road were the best I’ve ever had at a sports ground.
78	He lost to an injured player. Stop this. Sport isn't a charity. https://t.co/SfoxxjGfYW
79	@UtdDistrict @DuncanCastles @Record_Sport And WHY is this even being thought about ?? We spent £80m on Maguire !!!! Come on folks !
80	@TunnelKing @bbcquestiontime @BBCOne Iplayer live is showing sport at 8pm?
81	2020 Topps Gypsy Queen Gypsy Qu #whodoyoucollect #ad https://t.co/pzJCDFtage
82	"🚨 لوكا يوفيتش قد ينضم إلى فيورنتينا مجانًا هذا الصيف.  🔛

 قام النادي الإيطالي بسحب راتبه بالكامل من كتب ريال مدريد ، مما يوفر لهم 30 مليون يورو على مدار المواسم الثلاثة المقبلة.  💰

 (المصدر: MARCA) https://t.co/rJPx5ZM0dO"
83	@Sucresucrejon @TheEuropeanLad @BILD_Sport Would be great for Ajax, we keep Antony you get Brobbey, who do you think is the winner in this situation?
84	"@CryptoDadsNFT This is Darren (a.k.a-Dazza) 
He loves..
Grilling on the weekend &amp; drinking beers with his mates
Playing with his two little girls – Charlene(Chazza) and Sharon(Shazza)
Sitting in his recliner watching sport.
Throwing ball to his dog “Bluey”
Spending weekends on his ride-on mower https://t.co/wEPFlW8HTx"
85	@corkin02 @Jave_t23 @skycaptain25 @BleacherReport @stu_fraser If he is convicted, he wouldn’t get anywhere close to that. Plus he won’t get convicted. It is going to be thrown out next month. So your tweet is overly dramatic mate. Innocent until proven guilty (and it won’t even make it to real court)
86	@Yyaniick C’est dû au sport ? Si oui n’arrête pas et fait toi passer par une vilaine fille stp.
87	"Are there fitness/sports-related influencers on Twitter? 

Please tag the ones you know"
88	@beetleguice12 @redsoxstats Have u ever played any sport before it’s called being passionate that’s what makes him good countless athletes act this way I would hope he wants to be perfect
89	Only in Vegas🤣🤣😂 https://t.co/YeVAbdf4Zi
90	تغريدات رياضية ... https://t.co/doetyeaqvv
91	BAS Cricket - D League: AWHE beat AA Disasters 140.0(4.0) - 0.0(0.0) https://t.co/Z3j16XOQzZ
92	@sport_tvppl https://t.co/51IxXgu8Xs
93	@englishrugby please can you tell me why you haven’t banned men from womens rugby yet? Are you going to wait until a woman or girl gets seriously injured? Other sports have seen the science, or is it you’ve been captured by Stonewall and don’t give a stuff about women?!
94	"@joeysams87 @CardPurchaser I'd say that ""not caring"" doesn't have to be the case. I collect, but then some things got tight and trying to put a down payment on a home while making little money working for a non profit, put me in a tough spot which forced me to sell. Some are just trying to flip and make $."
95	@Wimbledon You are an absolute legend 🙌🏼 Thank you for the unforgettable matches 👏🏼👏🏼❤️Have a speedy recovery and come back stronger my champ 💯🙏🏻❤️ #RafaelNadal𓃵
96	🔚🔚🔚🔚🔚 https://t.co/kvo0hvcPNL
97	@StPatricksRCTho Well done @StPatricksRCTho, a great effort throughout the day and excellent teamwork displayed at all times! 👏🏻
98	"20' Bridport 1-1 Balti
Mo Hereka tries his luck from 18 yards, bringing a good stop with his legs from Andy Nott."
99	Yes, while the media in general serve us a diet of horror and disappointment, there's usually some good news to be found on the sports pages https://t.co/1juAVMRa3X
100	Pretend that you are the CEO of a successful sport-related business in the Unite https://t.co/5P21K3M3r5
101	"Cortesia de Orlegui Sports!
#EstoEsTuLigaMx https://t.co/xzsleBv4eN"
102	"@MixhaelMuir @ladyingearth @marcu5kyl3 @_Ronakkaria @BluntFarceLlama @wizard_worldly @ActingTheGom @RichardBRiddic2 @elonmusk not everybody is a sports star making a billion dollars a day. most of us scrape up less than 20k a year working two jobs and killing ourselves to have some food on the table. ""if 45k is elite you must be broke"" some of us pay rent, Michael."
103	"SIATKÓWKA NA SPORT NARODOWY!!
NIGDY W TEJ KWESTII ZDANIA NIE ZMIENIE #gangłysego"
104	@WhitneyCummings Your tweet was quoted in an article by Essentially Sports https://t.co/gb45BSushO
105	"#RafaelNadal #Wimbledon 

@RafaelNadal pulls out of @Wimbledon semi-final with abdominal injury

Read: https://t.co/OUZ9hxHKnK https://t.co/odPTwkFrnW"
106	@whitmire_dwayne @MHver3 Where are these reports outside of Twitter?
107	😂😂😂yea the nets from the jump had absolutely no intentions trading him. 33 turning 34 next season with a torn Achilles on his resumé n they asking for 2 star players in they mid n early 20s n 4 draft picks!? No intentions at all, see u at training camp Kevin lol https://t.co/zkpke6YLpI
108	Alper Pirşen'den 28 şampiyonluk açıklaması https://t.co/Cg1INfJcz7
109	@paige_mack21 i gotta find a better source for sports news. but everything always comes to twitter first 😂
110	"Catcher G. Sieve with a great swing to add another run to a @stltigers lead in the first

@stltigers - 3
@ImpactSportsGB - 0

#MPB15UNC | @MW_Premier"
111	@joerogan Your tweet was quoted in an article by Essentially Sports https://t.co/gb45BSushO
112	@AgitatorPro @Aquabears @miquelcs00 @jrsmithhenny @ESPNNBA @stephenasmith Yeah that’s why it’s hard to compare in any sport really
113	👀 https://t.co/5HMRg2apUw
114	"BREAKING: @NickKyrgios Reaches Wimbledon Final After Rafael Nadal Withdraws Through Injury

@sportbible @atptour @RafaelNadal #ATPChallenger #Tennis https://t.co/k56ni6H5h5"
115	@sharrond62 @EnglandRugby Rugby seem like a bad sport for men to compete against women. Badminton you just loose the game.
116	@UTDTrey @TheEuropeanLad @BILD_Sport 😭😂😂😂😂
117	@BnsBreaks @jblum11121 @CardboardEchoes @sports_sell @MDRANSOM1 Bet
118	@7moodh00 @w__aled @_RaymondRedd @iraq7710 @ReNgo_Sport بنادل يقصد
119	"""C'est un nouveau Tour qui débute"" : Gaudu - Bardet  jusqu'ici tout va bien
Source : Eurosport SPORT 123INFO
https://t.co/ScNwkEbws4"
120	From 1971-75 James Caan starred in (among others) The Godfather, Thief, Rollerball, Brian's Song, The Gambler, Cinderella Liberty, Slither, &amp; The Killer Elite - an incredible run from a guy who embodied a certain type of American male about as effectively as anyone ever has.
121	@joerogan Your tweet was quoted in an article by Essentially Sports https://t.co/gb45BSushO
122	Check out the latest Campman giveaway for a Black Diamond sport climbing package! All you have to do is enter your email for a chance to win! https://t.co/Ny64e6vxSE
123	@POTUS That is true, &amp; you &amp; your globalist friends are destroying the American worker on purpose.
124	"$7 PWE

Olave red prestige /149 + x2 base chronicles draft picks lot

@CardboardEchoes @sports_sell https://t.co/LfWGzue2nE"
125	@team980 The Giants beat The Patriots...at no point during the game are Manning and Brady on the field against each other at the same time.   This is a team sport.
126	@sport_tvppl Sebek Mila mówił że gadał z kibolami i doszło do nie porozumienia, więc nie wiem po co grzać temat, tak mówił na antenie xD
127	@La_Vikinga_ @eveeealba te la llevastes?😂
128	$0.23! 11et! @sports_sell @SportsSell3 https://t.co/Hx3BzXDtg4
129	The club’s top-rated prospect currently in the minors will take part in the showcase of top young players.  https://t.co/q6LuR3IqgC
130	@TheVetLibrarian The two recent examples that come into my mind are both liberal arts-style universities with over 3,000 students each. Most people know them for their sports teams or regional reputations as “good schools”. But they only hire people who will profess to be Christians. That bugs me
131	@itangishaka_j @rayon_sports 😂😂😂
132	I'm all in on a Fleury/Murray tandem in Toronto. They work great together. Murray gets his mentor back. Leafs get a Cup because Fleury+Murray= Cup. We've seen it twice.
133	Jack Darcy wins the evening's fifth race ahead of Special Envoy. The three-year-old makes it two wins from two, having won at Salisbury on his maiden run in September. Dancing Empress was quick out the blocks - she was 10 lengths clear at one point - but ran out of steam.
134	@SamChu67042286 MEMPHIS
135	@d_moose8 The points 🥵🥵🥵
136	"Not how Nick Kyrgios would have imagined reaching the #Wimbledon final 😢

Rafael Nadal's dream of a Calendar Grand Slam is officially over ❌

https://t.co/YLzdNOilMK"
137	@TheEuropeanLad @thedailymanc @BILD_Sport He is a striker
138	@FCsportz @susan1234456789 Uhhh no shit I’m talking whole league average 😂 don’t tell me you’re one of them old heads that think the sport doesn’t evolve lmao. We gonna see more Currys dominate in the next 20 years or Duncan’s bro? Duncan’s have damn near expired in today’s game.
